_id,perno,metadata_platform,metadata_write_ts,metadata_time_zone,metadata_write_local_dt_year,metadata_write_local_dt_month,metadata_write_local_dt_day,metadata_write_local_dt_hour,metadata_write_local_dt_minute,metadata_write_local_dt_second,metadata_write_local_dt_weekday,metadata_write_local_dt_timezone,metadata_write_fmt_time,tripno,data_source,data_ending_section,data_starting_section,data_enter_ts,data_enter_local_dt_year,data_enter_local_dt_month,data_enter_local_dt_day,data_enter_local_dt_hour,data_enter_local_dt_minute,data_enter_local_dt_second,data_enter_local_dt_weekday,data_enter_local_dt_timezone,data_enter_fmt_time,data_enter_loc_type,data_exit_ts,data_exit_local_dt_year,data_exit_local_dt_month,data_exit_local_dt_day,data_exit_local_dt_hour,data_exit_local_dt_minute,data_exit_local_dt_second,data_exit_local_dt_weekday,data_exit_local_dt_timezone,data_exit_fmt_time,data_exit_loc_type,data_duration,data_distance,data_enter_loc_longitude,data_enter_loc_latitude,data_exit_loc_longitude,data_exit_loc_latitude,data_distance_miles,enter_loc_geom_nrel,exit_loc_geom_nrel,enter_loc_geom_nrel_zipcode,exit_loc_geom_nrel_zipcode
5ffcaf9d3ed51845c8abad6a,e7b24d99-324d-4d6d-b247-9edc87d3c848,server,,America/Los_Angeles,2021,1,11,,,,0,America/Los_Angeles,,5ffcaf9b3ed51845c8abac73,SmoothedHighConfidenceMotion,5ffcaf9c3ed51845c8abacf0,5ffcaf9c3ed51845c8abad03,,2021,1,11,,,,0,America/Denver,,Point,,2021,1,11,,,,0,America/Denver,,Point,6.6368818283081055,10.663801064844671,,,,,0.006626176731463597,,,,
5ffcaf9d3ed51845c8abad6b,e7b24d99-324d-4d6d-b247-9edc87d3c848,server,,America/Los_Angeles,2021,1,11,,,,0,America/Los_Angeles,,5ffcaf9b3ed51845c8abac73,SmoothedHighConfidenceMotion,5ffcaf9c3ed51845c8abad03,5ffcaf9c3ed51845c8abad5c,,2021,1,11,,,,0,America/Denver,,Point,,2021,1,11,,,,0,America/Denver,,Point,0.9990243911743164,1.3533820010500108,,,,,0.0008409523273744463,,,,
5ffcaf9d3ed51845c8abad6c,e7b24d99-324d-4d6d-b247-9edc87d3c848,server,,America/Los_Angeles,2021,1,11,,,,0,America/Los_Angeles,,5ffcaf9b3ed51845c8abac73,SmoothedHighConfidenceMotion,5ffcaf9c3ed51845c8abad5c,5ffcaf9d3ed51845c8abad61,,2021,1,11,,,,0,America/Denver,,Point,,2021,1,11,,,,0,America/Denver,,Point,6.482201099395753,5.272226608914432,,,,,0.0032760087202077692,,,,
5ffcbda1a819d24f3f245e16,e7b24d99-324d-4d6d-b247-9edc87d3c848,server,,America/Los_Angeles,2021,1,11,,,,0,America/Los_Angeles,,5ffcbda1a819d24f3f245ddd,SmoothedHighConfidenceMotion,5ffcbda1a819d24f3f245ddf,5ffcbda1a819d24f3f245e0c,,2021,1,11,,,,0,America/Denver,,Point,,2021,1,11,,,,0,America/Denver,,Point,6.527558088302612,13.245613966901619,,,,,0.008230440396227627,,,,
5ffcbda43ce97ebef969febf,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,11,,,,0,America/Los_Angeles,,5ffcbda43ce97ebef969fe7b,SmoothedHighConfidenceMotion,5ffcbda43ce97ebef969fe7d,5ffcbda43ce97ebef969fe8f,,2021,1,11,,,,0,America/Denver,,Point,,2021,1,11,,,,0,America/Denver,,Point,0.9996819496154784,21.831281282247378,,,,,0.013565325081631337,,,,
5ffcbda43ce97ebef969fec0,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,11,,,,0,America/Los_Angeles,,5ffcbda43ce97ebef969fe7b,SmoothedHighConfidenceMotion,5ffcbda43ce97ebef969fe8f,5ffcbda43ce97ebef969fea0,,2021,1,11,,,,0,America/Denver,,Point,,2021,1,11,,,,0,America/Denver,,Point,0.9999890327453612,3.0383934615614137,,,,,0.0018879695836038766,,,,
5ffcf5ceed3437fae1edf8a8,960835ac-9d8a-421d-8b8a-bf816f8a4b92,server,,America/Los_Angeles,2021,1,11,,,,0,America/Los_Angeles,,5ffcf5cded3437fae1edf881,SmoothedHighConfidenceMotion,5ffcf5ceed3437fae1edf883,5ffcf5ceed3437fae1edf8a2,,2021,1,11,,,,0,America/Denver,,Point,,2021,1,11,,,,0,America/Denver,,Point,42.99699997901917,16.313798735732618,,,,,0.010136921434220913,,,,
5ffdc8b81f16b3c2c37aa0c2,c8b9fe22-86f8-449a-b64f-c18a8d20eefc,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffdc8b71f16b3c2c37aa08e,SmoothedHighConfidenceMotion,5ffdc8b71f16b3c2c37aa090,5ffdc8b71f16b3c2c37aa0b3,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,0.0,0.0,,,,,0.0,,,,
5ffdc8b81f16b3c2c37aa0c3,c8b9fe22-86f8-449a-b64f-c18a8d20eefc,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffdc8b71f16b3c2c37aa08e,SmoothedHighConfidenceMotion,5ffdc8b71f16b3c2c37aa0b3,5ffdc8b81f16b3c2c37aa0b6,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,26.162819147109985,31.882146326782284,,,,,0.01981064114521904,,,,
5ffdf2ea52fd347238e9df76,960835ac-9d8a-421d-8b8a-bf816f8a4b92,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffdf2ea52fd347238e9df14,SmoothedHighConfidenceMotion,5ffdf2ea52fd347238e9df16,5ffdf2ea52fd347238e9df63,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,0.0,0.0,,,,,0.0,,,,
